Date,cpi,wpi,ppi,cash_rate,cpi_yoy,wpi_yoy,ppi_yoy,cash_rate_yoy,cpi_roll3,cpi_roll12,wpi_roll3,wpi_roll12,ppi_roll3,ppi_roll12,cpi_volatility,flag_cpi_spike,flag_rate_hike
2015-01-31,,120.2,105.3,2.5,,,,,,,,,,,,0,0
2015-02-28,,120.2,105.3,2.28,,,,,,,,,,,,0,0
2015-03-01,,120.7,106.1,2.28,,,,,,,120.36666666666667,,105.56666666666666,,,0,0
2015-03-31,,120.7,106.1,2.25,,,,,,,120.53333333333335,,105.83333333333333,,,0,0
2015-04-30,,120.7,106.1,2.25,,,,,,,120.7,,106.1,,,0,0
2015-05-31,,120.7,106.1,2.04,,,,,,,120.7,,106.1,,,0,0
2015-06-01,,121.2,106.9,2.04,,,,,,,120.86666666666667,,106.36666666666667,,,0,0
2015-06-30,,121.2,106.9,2.0,,,,,,,121.03333333333335,,106.63333333333333,,,0,0
2015-07-31,,121.2,106.9,2.0,,,,,,,121.2,,106.9,,,0,0
2015-08-31,,121.2,106.9,2.0,,,,,,,121.2,,106.9,,,0,0
2015-09-01,,122.2,107.4,2.0,,,,,,,121.53333333333335,,107.06666666666668,,,0,0
2015-09-30,,122.2,107.4,2.0,,,,,,,121.86666666666667,121.03333333333335,107.23333333333335,106.45,,0,0
2015-10-31,,122.2,107.4,2.0,,1.6638935108153063,1.9943019943019946,-19.999999999999996,,,122.2,121.2,107.4,106.625,,0,0
2015-11-30,,122.2,107.4,2.0,,1.6638935108153063,1.9943019943019946,-12.280701754385959,,,122.2,121.36666666666666,107.4,106.80000000000001,,0,0
2015-12-01,,122.7,107.8,2.0,,1.6570008285004212,1.6022620169651391,-12.280701754385959,,,122.36666666666667,121.53333333333335,107.53333333333335,106.94166666666666,,0,0
2015-12-31,,122.7,107.8,2.0,,1.6570008285004212,1.6022620169651391,-11.111111111111116,,,122.53333333333335,121.7,107.66666666666667,107.08333333333333,,0,0
2016-01-31,,122.7,107.8,2.0,,1.6570008285004212,1.6022620169651391,-11.111111111111116,,,122.7,121.86666666666667,107.8,107.22500000000001,,0,0
2016-02-29,,122.7,107.8,2.0,,1.6570008285004212,1.6022620169651391,-1.9607843137254943,,,122.7,122.03333333333335,107.8,107.36666666666667,,0,0
2016-03-01,,123.2,108.0,2.0,,1.650165016501659,1.0289990645462987,-1.9607843137254943,,,122.86666666666667,122.19999999999999,107.86666666666667,107.45833333333333,,0,0
